,case,mean,variance,median,cv,skewness,kurtosis
0,1,25.1,3.99,25.0,0.07958161097784135,0.23864435678194926,-0.512597282680384
0,2,49.958333333333336,22.81076388888889,50.0,0.09560089833047851,0.05246655684361618,-0.8027576900985407
0,3,110.25,25.354166666666668,110.0,0.04567158379446952,0.3037720359216626,-0.3730592827304777
0,4,20.1875,24.33984375,20.0,0.2443860169890512,0.24701208634289054,-0.4351425347983242
0,5,100.6,106.64,105.0,0.10265074070318557,0.30223507945014005,-0.38871814727875487
0,6,150.1875,24.33984375,150.0,0.03284922325737143,0.24701208634289054,-0.4351425347983242
0,7,200.9,239.94,207.5,0.07710302026934147,0.30223507945013806,-0.38871814727875664
0,8,500.17857142857144,25.14668367346939,500.0,0.010025713216412123,0.26307847832417247,-0.434732987167056
0,9,171.0,412.3333333333333,180.0,0.1187484944289905,0.2701593067687958,-0.4131661274016136
0,10,200.89285714285714,628.6670918367347,200.0,0.12480898986297935,0.2630784783241826,-0.43473298716705466
